,n,p,r,num_anchors,TV_err_V,TV_err_U,TV_err_P_hat,TV_err_P,L2_err_V,L2_err_U,L2_err_P_hat,L2_err_P,sim_time,decomp_time,trial,ln_n,ln_TV_err_V,ln_TV_err_U
17,5000000,1000,6,50,0.5393458558275448,142.6318361627255,193.7574401831924,91.98225347700212,0.0003291139616824,5.501525124870501,0.1802196964560844,0.0558560333850269,60.77061438560486,2.926092624664306,2,15.424948470398375,-0.6173982518324825,4.960266738060582
18,5000000,1000,6,50,1.1016968159876337,147.84699386862738,195.2013667979925,92.48453641340444,0.0023546045267644,5.992129236876918,0.1846925558552919,0.0557145657696489,61.03412961959839,2.810593605041504,3,15.424948470398375,0.09685155126951225,4.996177913786252
19,5000000,1000,6,50,2.445943680900432,172.375304621344,194.82516934854087,94.70960663484382,0.0127407086624454,8.146105459226884,0.1861065878013506,0.0569677460583069,60.87527227401733,2.7728936672210693,4,15.424948470398375,0.8944310120205198,5.14967410331332
20,10000000,1000,6,50,0.7522497901588743,145.68397142212967,168.46413344501644,75.73578403934502,0.0013555019016323,5.852885199263989,0.149734047716729,0.0385882277056655,122.12228441238403,2.748590469360352,0,16.11809565095832,-0.28468684242333503,4.98143969631994
21,10000000,1000,6,50,0.4222904041073134,140.2351382767455,168.1258450460681,75.33123620172996,0.0002153656230975,5.387318086255355,0.1473460884359685,0.0392131818450571,121.48767161369324,2.6900956630706787,1,16.11809565095832,-0.862062040228864,4.94332057284681
22,10000000,1000,6,50,0.4193195774807219,140.14766072581045,172.623906462448,77.41038971414713,0.0002165712160032,5.50663889084386,0.1602834241547299,0.0415997312250702,121.98236107826231,2.724776268005371,2,16.11809565095832,-0.8691219350279544,4.942696586253591
23,10000000,1000,6,50,0.4015525115627945,142.86003426093268,170.78636080729387,76.82086706294812,0.0001886606826132,5.728366396381753,0.1551971231759643,0.0400900363881788,121.97306036949158,2.6862378120422363,3,16.11809565095832,-0.9124169656970869,4.96186536954853
24,10000000,1000,6,50,0.4078860710923503,139.73025056172,167.8658357189087,76.32290774277598,0.0001928025339169,5.536646371849137,0.1489448309897572,0.039912498892894,120.89814853668211,2.698180675506592,4,16.11809565095832,-0.8967673810907798,4.939713782275605
25,30000000,1000,6,50,0.2363149717500517,136.05338774702352,142.96039285000046,49.76873296128514,6.067823971538124e-05,5.222779932955625,0.1221230376971552,0.0178144071378336,366.0301728248596,2.494938611984253,0,17.216707939626428,-1.4425897377187138,4.913047365669134
26,30000000,1000,6,50,0.259428688671689,138.7724756411131,147.05117041479252,50.51242696594946,8.131369473716932e-05,5.4540260928670605,0.1342586856614256,0.0180643110674664,367.0172433853149,2.547853469848633,1,17.216707939626428,-1.3492734169479972,4.932835726110747
